,Year,Name,Episodes,Type
2,1998.0,Trigun,26,TV
3,2002.0,Witch Hunter Robin,26,TV
4,2004.0,Bouken Ou Beet,52,TV
5,2005.0,Eyeshield 21,145,TV
6,2005.0,Hachimitsu to Clover,24,TV
7,2002.0,Hungry Heart: Wild Striker,52,TV
8,2004.0,Initial D Fourth Stage,24,TV
9,2004.0,Monster,74,TV
10,2002.0,Naruto,220,TV
0,1998.0,Cowboy Bebop,26,TV
12,2001.0,Tennis no Ouji-sama,178,TV
13,2004.0,Ring ni Kakero 1,12,TV
14,2004.0,School Rumble,26,TV
15,2004.0,Sunabouzu,24,TV
16,2003.0,Texhnolyze,22,TV
17,2005.0,Trinity Blood,24,TV
18,2004.0,Yakitate!! Japan,69,TV
19,2004.0,Zipang,26,TV
20,1995.0,Neon Genesis Evangelion,26,TV
23,1997.0,Kenpuu Denki Berserk,25,TV
25,1999.0,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,4,OVA
26,1996.0,Rurouni Kenshin: Meiji Kenkaku Romantan,94,TV
29,2002.0,.hack//Sign,26,TV
30,1993.0,Aa! Megami-sama!,5,OVA
31,2005.0,Aa! Megami-sama! (TV),24,TV
32,2000.0,Tenshi Kinryouku,3,OVA
33,2001.0,Kidou Tenshi Angelic Layer,26,TV
34,2002.0,Ai Yori Aoshi,24,TV
36,1999.0,Arc the Lad,26,TV
37,2003.0,Avenger,13,TV
38,2004.0,Beck,26,TV
39,1999.0,Blue Gender,26,TV
40,2002.0,Chobits,26,TV
41,2003.0,Chrno Crusade,24,TV
42,2003.0,D.N.Angel,26,TV
43,2003.0,D.C.: Da Capo,26,TV
44,2004.0,DearS,12,TV
45,2004.0,Rozen Maiden,12,TV
46,2005.0,Rozen Maiden: Träumend,12,TV
47,2002.0,Azumanga Daioh,26,TV
48,2005.0,Basilisk: Kouga Ninpou Chou,24,TV
49,2005.0,Black Cat (TV),23,TV
50,2005.0,Cluster Edge,25,TV
51,2002.0,Full Metal Panic!,24,TV
52,2003.0,Full Metal Panic? Fumoffu,12,TV
53,2005.0,Full Metal Panic! The Second Raid,13,TV
54,2004.0,Gakuen Alice,26,TV
55,2004.0,Soukyuu no Fafner: Dead Aggressor,25,TV
56,2004.0,Mahou Shoujo Lyrical Nanoha,13,TV
57,2005.0,Mahou Shoujo Lyrical Nanoha A's,13,TV
58,2005.0,Shuffle!,24,TV
59,1979.0,Mobile Suit Gundam,43,TV
60,1996.0,Mobile Suit Gundam: The 08th MS Team,12,OVA
61,1989.0,Mobile Suit Gundam 0080: War in the Pocket,6,OVA
63,1991.0,Mobile Suit Gundam 0083: Stardust Memory,13,OVA
64,1985.0,Mobile Suit Zeta Gundam,50,TV
65,1986.0,Mobile Suit Gundam ZZ,47,TV
68,1993.0,Mobile Suit Victory Gundam,51,TV
69,1995.0,Mobile Suit Gundam Wing,49,TV
70,1997.0,Mobile Suit Gundam Wing: Endless Waltz,3,OVA
71,1996.0,After War Gundam X,39,TV
72,2002.0,Mobile Suit Gundam SEED,50,TV
73,2004.0,Mobile Suit Gundam SEED Destiny,50,TV
74,1999.0,Turn A Gundam,50,TV
75,1994.0,Mobile Fighter G Gundam,49,TV
76,2003.0,Last Exile,26,TV
77,2004.0,Mai-HiME,26,TV
78,2005.0,Mai-Otome,26,TV
79,2001.0,Shin Shirayuki-hime Densetsu Prétear,13,TV
80,2005.0,Air,12,TV
81,2004.0,Aishiteruze Baby★★,26,TV
82,1994.0,Akazukin Chacha,74,TV
83,2000.0,Ayashi no Ceres,24,TV
84,2000.0,Boys Be...,13,TV
85,1996.0,Hana yori Dango,51,TV
86,2002.0,Ou Dorobou Jing,13,TV
87,2004.0,Ou Dorobou Jing in Seventh Heaven,3,OVA
88,2004.0,Bakuretsu Tenshi,24,TV
89,1997.0,Chuuka Ichiban!,52,TV
90,1999.0,Corrector Yui,52,TV
91,2004.0,Chou Henshin Cosprayers,8,TV
